row_id,surface_au_composition,subsurface_au_composition,plane_rms_A,plane_max_abs_A,au_au_avg_bond_strain_surface,au_cu_avg_bond_strain_surface,cu_cu_avg_bond_strain_surface,au3_avg_trimer_strain,au2cu_avg_trimer_strain,aucu2_avg_trimer_strain,cu3_avg_trimer_strain,all_trimers_avg_strain
126,5.555555555555555,0.0,0.05304610055211226,0.19833967380876819,nan,-4.582446149208082,-0.2577662498427341,nan,nan,-4.5059220825302395,-0.8628208857552865,-1.470004418551112
127,5.555555555555555,0.0,0.052494417227366544,0.2143852409357768,nan,-4.785642971578313,-0.23153689173590078,nan,nan,-4.912606455981004,-0.7741808553619095,-1.463918455465092
128,5.555555555555555,0.0,0.04345987629616786,0.11830590887081613,nan,-5.601449993737764,-0.11407181570405649,nan,nan,-6.533723105853586,-0.4194438218439512,-1.4384903691788902
129,5.555555555555555,0.0,0.05117305966514053,0.11124182640376346,nan,-5.647439462003148,-0.10833396944900169,nan,nan,-6.621245147773732,-0.4000350600166687,-1.4369034079761793
130,5.555555555555555,0.0,0.045314647233341485,0.12988383379065185,nan,-5.676188527416244,-0.1041703475440822,nan,nan,-6.682246608167645,-0.3869157779074094,-1.4361375829507823
131,5.555555555555555,0.0,0.05341880460513996,0.2037737094968849,nan,-4.774545900802236,-0.23267015034138594,nan,nan,-4.898146518440072,-0.7770428963915297,-1.4638935000662867
132,5.555555555555555,0.0,0.05621877418238836,0.21661875317808918,nan,-4.917381376113635,-0.21425276745877112,nan,nan,-5.174565476434352,-0.7166032697484989,-1.4595969708628076
133,5.555555555555555,0.0,0.05141316715337488,0.20644555911290874,nan,-4.834399340221943,-0.22518263713275052,nan,nan,-5.009902488853747,-0.7528469135970267,-1.4623561761398134
134,5.555555555555555,0.0,0.05202720730952312,0.21144236170855576,nan,-4.536717610989505,-0.2636557366177761,nan,nan,-4.414926347404196,-0.882781179107127,-1.4714720404899722
135,8.333333333333334,0.0,0.047242830627392284,0.14449533445890572,-7.082764988487516,-5.840395660557009,-0.18845647743491759,nan,-10.325683678416596,-7.111785150321086,-0.6268553395377544,-2.1572258121589254
136,11.11111111111111,0.0,0.0549608887169133,0.13665757382821445,-7.064033004260371,-5.999207529644139,-0.3219592895160215,-13.630792418951192,-11.435225029195253,-7.041117919453082,-1.0140983570423043,-2.879172905855213
137,11.11111111111111,0.0,0.05787930624408999,0.12140406879562658,nan,-5.902792869879069,-0.19832685586790352,nan,nan,-7.134743375471882,-0.7534804453849971,-2.8805680887472924
138,13.88888888888889,0.0,0.06798189482771579,0.12960078239658296,nan,-6.032378572174102,-0.2198200576693624,nan,nan,-7.393484417559888,-0.883219444678014,-3.595829850045461
139,13.88888888888889,0.0,0.06701154233462246,0.15027670279678276,nan,-5.956524995043337,-0.25149316342565736,nan,nan,-7.241165025166192,-1.0021940477501805,-3.6017652883401863
140,16.666666666666668,0.0,0.06921459256537792,0.14007602805335687,nan,-6.112280075624667,-0.25067074992188165,nan,nan,-7.545972397194977,-1.0788660638014618,-4.31241923049822
141,19.444444444444443,0.0,0.07036494075574974,0.16904246837117462,-7.214597558878829,-6.2773463546083725,-0.42164772272443496,-13.910280867028067,-11.412619109337902,-7.8309617903142135,-1.5743329031631763,-5.023215678973917
142,19.444444444444443,0.0,0.07396004454522635,0.16159891845849872,nan,-6.231864895061783,-0.24501220924725847,nan,nan,-7.777962244480811,-1.1641502555173397,-5.022207249079365
