row_id,surface_au_composition,substrate_au_composition,plane_rms_A,plane_max_abs_A,au_au_avg_bond_strain_surface,au_cu_avg_bond_strain_surface,cu_cu_avg_bond_strain_surface,au_avg_voronoi_strain,cu_avg_voronoi_strain,avg_au_cu_area_strain,diff_area_au_minus_cu_strain
54,16.0,0.0,0.1011815710958099,0.2282518544907771,-7.667605657793933,-4.467344130397796,-1.0260692371933244,-18.961154801288224,-1.065094973043051,-3.9284645455622784,-17.89605982824517
55,16.0,0.0,0.08924881047256988,0.20512306713800815,-5.859148134806835,-5.494303748923842,-0.7066808089696623,-19.900817281324024,-0.8310615713511741,-3.8822224849468308,-19.06975570997285
56,20.0,0.0,0.08444772921916371,0.18560013921776158,-5.747942687429097,-5.479990934727986,-0.9694015137127178,-20.155596390277015,-1.0143057390663985,-4.842563869308522,-19.141290651210618
57,16.0,0.0,0.09755611261720194,0.2031670487682094,-7.409764194451451,-4.954439718297894,-0.8501212071914471,-19.54719946861761,-0.9208078737746137,-3.9010305289494935,-18.626391594842996
58,20.0,0.0,0.09103201192480588,0.1859158048840216,-6.792734093582446,-5.523736453738208,-0.8929551158012504,-20.436840012006908,-0.9225116572247629,-4.825377328181192,-19.514328354782144
59,24.0,0.0,0.09364004781866993,0.18441970733964128,-7.042391709146049,-5.852581054787297,-0.9089546278196169,-21.150971027034533,-0.8770872556404046,-5.742819360774995,-20.27388377139413
60,16.0,0.0,0.08924898074848486,0.2187378762522389,-7.182979557675539,-5.403239272011321,-0.6888845062690052,-20.128080517609686,-0.7744988958372041,-3.8710719553208013,-19.35358162177248
61,20.0,0.0,0.07393763067280755,0.19702209552746267,-6.636567121611773,-5.693280162729933,-0.7153460907699162,-21.206751060958304,-0.6723535587421244,-4.779233059185359,-20.53439750221618
62,12.0,0.0,0.09813551135415893,0.243143686500648,-5.35815357607796,-4.837107293866294,-0.6292927061872711,-19.35063137924975,-0.6871043974287935,-2.926727635247309,-18.663526981820958
63,12.0,0.0,0.09487053753168921,0.25211188288881087,-6.285380953137653,-4.467064198606064,-0.7174866417340766,-18.983334571397638,-0.7531241523367364,-2.9407494026240446,-18.230210419060903
64,12.0,0.0,0.07332659470198104,0.19878522851797506,-6.258391912594875,-5.014831628961314,-0.5691583327746786,-19.78444949128887,-0.6090882166295007,-2.910131569588625,-19.17536127465937
65,12.0,0.0,0.08922102526963742,0.21095951138464092,-6.63359874973469,-5.208822046870937,-0.5013124097422509,-20.144063555633704,-0.5475983258930266,-2.899174153461908,-19.596465229740677
66,20.0,0.0,0.07866853661013319,0.16208770828215158,-7.4177965461524105,-5.530826382770187,-0.8119565751926368,-21.059311859105843,-0.7240639378929645,-4.79111352213554,-20.33524792121288
67,24.0,0.0,0.0874230015841195,0.1808062182123399,-7.765572469589543,-5.776681503982661,-0.9337471372310313,-21.18913234011224,-0.8647731442372223,-5.742619351247226,-20.32435919587502
68,12.0,0.0,0.08129307536654914,0.17442164214022202,nan,-5.017469727733401,-0.510672363008704,-20.671874159003323,-0.4534371910192103,-2.8796496271773036,-20.21843696798411
69,12.0,0.0,0.08029751889936435,0.18937226909933144,nan,-4.789251558410907,-0.5848146194922955,-20.299806562395023,-0.5196820736369006,-2.893297012287876,-19.780124488758123
70,12.0,0.0,0.06867579197966281,0.1589926001121191,nan,-5.051204348199698,-0.5070554459294295,-20.730269579102167,-0.4411776947372555,-2.875868720861045,-20.28909188436491
71,16.0,0.0,0.07207755937429301,0.16149608738039423,nan,-5.1913394518654075,-0.6990150195280713,-20.956173225890403,-0.5687090555248338,-3.8307033227833243,-20.38746417036557
72,12.0,0.0,0.07717664484968215,0.17322093879131073,nan,-4.913755579554834,-0.5470819492336562,-20.49622804742186,-0.4856006716347352,-2.88687595672919,-20.010627375787124
73,8.0,0.0,0.06979145621984849,0.20103894375470496,-6.430240029312874,-4.9567833752635435,-0.3592667269032729,-19.29920505681043,-0.4363407804196697,-1.94536992253093,-18.86286427639076
